size,needs,workload,impl,ms_best,ms_median,count,load_ms
300,300,A_flat,filter_string_eval,1.479,2.011,38,2.214
300,300,A_flat,ast_fastpath,0.011,0.011,38,2.214
300,300,B_antijoin,author_scan,0.578,0.587,4,2.214
300,300,B_antijoin,expert_index,0.02,0.021,4,2.214
300,300,C_join,forward_join,0.01,0.011,4,2.214
300,300,D_closure,hand_bfs,0.258,0.268,2,2.214
300,300,E_complex,complex_author,0.176,0.215,8,2.214
300,300,E_complex,complex_expert,0.045,0.046,8,2.214
300,300,A_flat,reference,0.214,0.225,38,0.792
300,300,B_antijoin,reference,0.459,0.468,4,0.792
300,300,C_join,reference,0.1,0.101,4,0.792
300,300,D_closure,reference,0.111,0.133,2,0.792
300,300,E_complex,reference,0.411,0.486,8,0.792
300,300,A_flat,optimized,0.047,0.054,38,0.78
300,300,B_antijoin,optimized,0.059,0.062,4,0.78
300,300,C_join,optimized,0.054,0.057,4,0.78
300,300,D_closure,optimized,0.031,0.032,2,0.78
300,300,E_complex,optimized,0.136,0.146,8,0.78
300,300,A_flat,optimized_cython,0.039,0.044,38,0.701
300,300,B_antijoin,optimized_cython,0.052,0.055,4,0.701
300,300,C_join,optimized_cython,0.049,0.051,4,0.701
300,300,D_closure,optimized_cython,0.028,0.031,2,0.701
300,300,E_complex,optimized_cython,0.121,0.129,8,0.701
300,300,A_flat,bitmap,0.028,0.033,38,0.874
300,300,B_antijoin,bitmap,0.028,0.035,4,0.874
300,300,C_join,bitmap,0.052,0.063,4,0.874
300,300,D_closure,bitmap,0.029,0.031,2,0.874
300,300,E_complex,bitmap,0.138,0.145,8,0.874
300,300,A_flat,ubc_cli,6.44,6.674,38,83.428
300,300,A_flat,ubc_mcp,2.158,2.279,38,83.428
300,300,B_antijoin,ubc_cli,6.741,6.998,4,83.428
300,300,B_antijoin,ubc_mcp,2.128,2.18,4,83.428
300,300,C_join,ubc_cli,6.743,7.648,4,83.428
300,300,C_join,ubc_mcp,2.214,3.205,4,83.428
300,300,D_closure,ubc_cli,6.439,7.17,2,83.428
300,300,D_closure,ubc_mcp,2.153,3.18,2,83.428
300,300,E_complex,ubc_cli,6.69,7.341,8,83.428
300,300,E_complex,ubc_mcp,2.205,2.278,8,83.428
300,300,A_flat,neo4j,2.713,3.986,38,1498.366
300,300,B_antijoin,neo4j,2.04,2.298,4,1498.366
300,300,C_join,neo4j,1.264,1.379,4,1498.366
300,300,D_closure,neo4j,1.156,1.273,2,1498.366
300,300,E_complex,neo4j,1.689,1.892,8,1498.366
1000,1000,A_flat,filter_string_eval,4.939,4.975,126,8.343
1000,1000,A_flat,ast_fastpath,0.037,0.038,126,8.343
1000,1000,B_antijoin,author_scan,6.49,6.634,13,8.343
1000,1000,B_antijoin,expert_index,0.068,0.072,13,8.343
1000,1000,C_join,forward_join,0.037,0.037,19,8.343
1000,1000,D_closure,hand_bfs,0.842,0.873,2,8.343
1000,1000,E_complex,complex_author,3.017,3.073,46,8.343
1000,1000,E_complex,complex_expert,0.081,0.083,46,8.343
1000,1000,A_flat,reference,0.626,0.651,126,2.35
1000,1000,B_antijoin,reference,1.449,1.504,13,2.35
1000,1000,C_join,reference,0.241,0.294,19,2.35
1000,1000,D_closure,reference,0.31,0.353,2,2.35
1000,1000,E_complex,reference,1.432,1.517,46,2.35
1000,1000,A_flat,optimized,0.107,0.121,126,2.343
1000,1000,B_antijoin,optimized,0.235,0.239,13,2.343
1000,1000,C_join,optimized,0.1,0.108,19,2.343
1000,1000,D_closure,optimized,0.029,0.034,2,2.343
1000,1000,E_complex,optimized,0.361,0.414,46,2.343
1000,1000,A_flat,optimized_cython,0.089,0.094,126,2.059
1000,1000,B_antijoin,optimized_cython,0.109,0.113,13,2.059
1000,1000,C_join,optimized_cython,0.097,0.107,19,2.059
1000,1000,D_closure,optimized_cython,0.027,0.028,2,2.059
1000,1000,E_complex,optimized_cython,0.291,0.317,46,2.059
1000,1000,A_flat,bitmap,0.05,0.058,126,2.342
1000,1000,B_antijoin,bitmap,0.032,0.035,13,2.342
1000,1000,C_join,bitmap,0.102,0.104,19,2.342
1000,1000,D_closure,bitmap,0.031,0.038,2,2.342
1000,1000,E_complex,bitmap,0.38,0.427,46,2.342
1000,1000,A_flat,ubc_cli,7.873,8.17,126,89.936
1000,1000,A_flat,ubc_mcp,2.955,2.973,126,89.936
1000,1000,B_antijoin,ubc_cli,7.67,8.446,13,89.936
1000,1000,B_antijoin,ubc_mcp,2.982,3.024,13,89.936
1000,1000,C_join,ubc_cli,8.246,8.433,19,89.936
1000,1000,C_join,ubc_mcp,2.986,3.057,19,89.936
1000,1000,D_closure,ubc_cli,7.977,8.677,2,89.936
1000,1000,D_closure,ubc_mcp,2.998,3.078,2,89.936
1000,1000,E_complex,ubc_cli,8.524,9.242,46,89.936
1000,1000,E_complex,ubc_mcp,3.075,3.132,46,89.936
1000,1000,A_flat,neo4j,3.937,4.406,126,292.691
1000,1000,B_antijoin,neo4j,2.039,2.853,13,292.691
1000,1000,C_join,neo4j,1.715,1.723,19,292.691
1000,1000,D_closure,neo4j,1.256,1.379,2,292.691
1000,1000,E_complex,neo4j,2.721,2.781,46,292.691
10000,9997,A_flat,filter_string_eval,48.782,50.754,1263,76.612
10000,9997,A_flat,ast_fastpath,0.409,0.422,1263,76.612
10000,9997,B_antijoin,author_scan,739.94,743.457,127,76.612
10000,9997,B_antijoin,expert_index,0.761,0.767,127,76.612
10000,9997,C_join,forward_join,0.412,0.429,218,76.612
10000,9997,D_closure,hand_bfs,9.074,9.464,4,76.612
10000,9997,E_complex,complex_author,343.46,345.273,471,76.612
10000,9997,E_complex,complex_expert,0.916,0.981,471,76.612
10000,9997,A_flat,reference,6.253,6.868,1263,26.647
10000,9997,B_antijoin,reference,15.261,16.141,127,26.647
10000,9997,C_join,reference,2.376,2.408,218,26.647
10000,9997,D_closure,reference,3.35,3.369,4,26.647
10000,9997,E_complex,reference,14.378,14.92,471,26.647
10000,9997,A_flat,optimized,0.998,1.021,1263,25.347
10000,9997,B_antijoin,optimized,1.101,1.139,127,25.347
10000,9997,C_join,optimized,0.685,0.726,218,25.347
10000,9997,D_closure,optimized,0.032,0.035,4,25.347
10000,9997,E_complex,optimized,3.377,3.429,471,25.347
10000,9997,A_flat,optimized_cython,0.819,0.945,1263,24.3
10000,9997,B_antijoin,optimized_cython,0.963,1.0,127,24.3
10000,9997,C_join,optimized_cython,0.703,1.123,218,24.3
10000,9997,D_closure,optimized_cython,0.03,0.032,4,24.3
10000,9997,E_complex,optimized_cython,2.828,2.933,471,24.3
10000,9997,A_flat,bitmap,0.373,0.398,1263,26.121
10000,9997,B_antijoin,bitmap,0.096,0.101,127,26.121
10000,9997,C_join,bitmap,0.692,0.72,218,26.121
10000,9997,D_closure,bitmap,0.032,0.034,4,26.121
10000,9997,E_complex,bitmap,3.338,3.39,471,26.121
10000,9997,A_flat,ubc_cli,33.821,37.21,1263,225.033
10000,9997,A_flat,ubc_mcp,15.284,16.016,1263,225.033
10000,9997,B_antijoin,ubc_cli,34.413,42.708,127,225.033
10000,9997,B_antijoin,ubc_mcp,15.858,16.163,127,225.033
10000,9997,C_join,ubc_cli,33.593,36.286,218,225.033
10000,9997,C_join,ubc_mcp,15.854,16.569,218,225.033
10000,9997,D_closure,ubc_cli,31.994,35.345,4,225.033
10000,9997,D_closure,ubc_mcp,15.961,16.453,4,225.033
10000,9997,E_complex,ubc_cli,38.766,45.384,471,225.033
10000,9997,E_complex,ubc_mcp,18.822,23.678,471,225.033
10000,9997,A_flat,neo4j,16.776,19.159,1263,906.771
10000,9997,B_antijoin,neo4j,5.536,7.17,127,906.771
10000,9997,C_join,neo4j,3.531,3.661,218,906.771
10000,9997,D_closure,neo4j,1.38,1.675,4,906.771
10000,9997,E_complex,neo4j,7.215,8.839,471,906.771
40000,39998,A_flat,filter_string_eval,211.821,218.831,5052,442.987
40000,39998,A_flat,ast_fastpath,1.688,1.948,5052,442.987
40000,39998,B_antijoin,author_scan,12134.125,12134.125,506,442.987
40000,39998,B_antijoin,expert_index,3.103,3.272,506,442.987
40000,39998,C_join,forward_join,1.798,1.818,772,442.987
40000,39998,D_closure,hand_bfs,54.316,55.213,4,442.987
40000,39998,E_complex,complex_author,5576.776,5576.776,1910,442.987
40000,39998,E_complex,complex_expert,4.862,5.005,1910,442.987
40000,39998,A_flat,reference,25.725,25.884,5052,130.951
40000,39998,B_antijoin,reference,65.48,68.149,506,130.951
40000,39998,C_join,reference,9.509,9.606,772,130.951
40000,39998,D_closure,reference,13.561,14.284,4,130.951
40000,39998,E_complex,reference,62.794,69.564,1910,130.951
40000,39998,A_flat,optimized,4.262,4.392,5052,115.565
40000,39998,B_antijoin,optimized,4.884,4.941,506,115.565
40000,39998,C_join,optimized,2.666,2.74,772,115.565
40000,39998,D_closure,optimized,0.034,0.036,4,115.565
40000,39998,E_complex,optimized,13.891,14.017,1910,115.565
40000,39998,A_flat,optimized_cython,3.377,3.415,5052,97.015
